Harga Close Saham BMRI.JK
7875
7900
7875
7825
7825
7675
7700
7700
7675
7700
7725
7675
7625
7575
7850
8300
8275
8225
8350
8225
8950
8325
8100
8000
7875
7800
7850
7900
7900
8000
7875
7925
7850
8100
8200
8500
8200
8200
8150
8300
8400
8425
8175
8100
8200
8300
8375
8075
8250
8250
8150
8150
8300
8225
8125
7950
7925
7600
7400
7650
7525
7425
7475
7475
7425
7275
7275
7175
7350
7425
7900
7900
7850
7775
8000
8100
8050
8275
7975
8175
8250
8250
8250
8350
8475
8600
8525
8475
8450
8525
8600
8500
8525
8625
8625
8575
8500
8550
8650
8850
8925
8850
8950
8825
8875
8950
9075
9175
9450
9300
9350
9100
9225
9200
9275
9200
9200
9250
9350
9300
9250
9425
